class_index,class,height,width,scale by
61,CALIFORNIA CONDOR,150,150,1
62,CALIFORNIA GULL,150,150,1
63,CALIFORNIA QUAIL,150,150,1
64,CANARY,150,150,1
65,CAPE GLOSSY STARLING,150,150,1
66,CAPE MAY WARBLER,150,150,1
67,CAPPED HERON,150,150,1
68,CAPUCHINBIRD,150,150,1
69,CARMINE BEE-EATER,150,150,1
70,CASPIAN TERN,150,150,1
71,CASSOWARY,150,150,1
72,CEDAR WAXWING,150,150,1
73,CERULEAN WARBLER,150,150,1
74,CHARA DE COLLAR,150,150,1
75,CHESTNET BELLIED EUPHONIA,150,150,1
76,CHIPPING SPARROW,150,150,1
77,CHUKAR PARTRIDGE,150,150,1
78,CINNAMON TEAL,150,150,1
79,CLARKS NUTCRACKER,150,150,1
80,COCK OF THE  ROCK,150,150,1
81,COCKATOO,150,150,1
82,COLLARED ARACARI,150,150,1
83,COMMON FIRECREST,150,150,1
84,COMMON GRACKLE,150,150,1
85,COMMON HOUSE MARTIN,150,150,1
86,COMMON LOON,150,150,1
87,COMMON POORWILL,150,150,1
88,COMMON STARLING,150,150,1
89,COUCHS KINGBIRD,150,150,1
90,CRESTED AUKLET,150,150,1
91,CRESTED CARACARA,150,150,1
92,CRESTED NUTHATCH,150,150,1
93,CRIMSON SUNBIRD,150,150,1
94,CROW,150,150,1
95,CROWNED PIGEON,150,150,1
96,CUBAN TODY,150,150,1
97,CUBAN TROGON,150,150,1
98,CURL CRESTED ARACURI,150,150,1
99,D-ARNAUDS BARBET,150,150,1
100,DARK EYED JUNCO,150,150,1
101,DOUBLE BARRED FINCH,150,150,1
102,DOUBLE BRESTED CORMARANT,150,150,1
103,DOWNY WOODPECKER,150,150,1
104,EASTERN BLUEBIRD,150,150,1
105,EASTERN MEADOWLARK,150,150,1
106,EASTERN ROSELLA,150,150,1
107,EASTERN TOWEE,150,150,1
108,ELEGANT TROGON,150,150,1
109,ELLIOTS  PHEASANT,150,150,1
110,EMPEROR PENGUIN,150,150,1
111,EMU,150,150,1
112,ENGGANO MYNA,150,150,1
113,EURASIAN GOLDEN ORIOLE,150,150,1
114,EURASIAN MAGPIE,150,150,1
115,EVENING GROSBEAK,150,150,1
116,FAIRY BLUEBIRD,150,150,1
117,FIRE TAILLED MYZORNIS,150,150,1
118,FLAME TANAGER,150,150,1
119,FLAMINGO,150,150,1
120,FRIGATE,150,150,1
121,GAMBELS QUAIL,150,150,1
122,GANG GANG COCKATOO,150,150,1
123,GILA WOODPECKER,150,150,1
124,GILDED FLICKER,150,150,1
125,GLOSSY IBIS,150,150,1
126,GO AWAY BIRD,150,150,1
127,GOLD WING WARBLER,150,150,1
128,GOLDEN CHEEKED WARBLER,150,150,1
129,GOLDEN CHLOROPHONIA,150,150,1
130,GOLDEN EAGLE,150,150,1
131,GOLDEN PHEASANT,150,150,1
132,GOLDEN PIPIT,150,150,1
133,GOULDIAN FINCH,150,150,1
134,GRAY CATBIRD,150,150,1
135,GRAY KINGBIRD,150,150,1
136,GRAY PARTRIDGE,150,150,1
137,GREAT GRAY OWL,150,150,1
138,GREAT KISKADEE,150,150,1
139,GREAT POTOO,150,150,1
140,GREATOR SAGE GROUSE,150,150,1
141,GREEN BROADBILL,150,150,1
142,GREEN JAY,150,150,1
143,GREEN MAGPIE,150,150,1
144,GREY PLOVER,150,150,1
145,GROVED BILLED ANI,150,150,1
146,GUINEA TURACO,150,150,1
147,GUINEAFOWL,150,150,1
148,GYRFALCON,150,150,1
149,HARLEQUIN DUCK,150,150,1
150,HARPY EAGLE,150,150,1
151,HAWAIIAN GOOSE,150,150,1
152,HELMET VANGA,150,150,1
153,HIMALAYAN MONAL,150,150,1
154,HOATZIN,150,150,1
155,HOODED MERGANSER,150,150,1
156,HOOPOES,150,150,1
157,HORNBILL,150,150,1
158,HORNED GUAN,150,150,1
159,HORNED LARK,150,150,1
160,HORNED SUNGEM,150,150,1
161,HOUSE FINCH,150,150,1
162,HOUSE SPARROW,150,150,1
163,HYACINTH MACAW,150,150,1
164,IMPERIAL SHAQ,150,150,1
165,INCA TERN,150,150,1
166,INDIAN BUSTARD,150,150,1
167,INDIAN PITTA,150,150,1
168,INDIAN ROLLER,150,150,1
169,INDIGO BUNTING,150,150,1
170,IWI,150,150,1
171,JABIRU,150,150,1
172,JAVA SPARROW,150,150,1
173,KAGU,150,150,1
174,KAKAPO,150,150,1
175,KILLDEAR,150,150,1
176,KING VULTURE,150,150,1
177,KIWI,150,150,1
178,KOOKABURRA,150,150,1
179,LARK BUNTING,150,150,1
180,LAZULI BUNTING,150,150,1
181,LILAC ROLLER,150,150,1
182,LONG-EARED OWL,150,150,1
183,MAGPIE GOOSE,150,150,1
184,MALABAR HORNBILL,150,150,1
185,MALACHITE KINGFISHER,150,150,1
186,MALAGASY WHITE EYE,150,150,1
187,MALEO,150,150,1
188,MALLARD DUCK,150,150,1
189,MANDRIN DUCK,150,150,1
190,MANGROVE CUCKOO,150,150,1
191,MARABOU STORK,150,150,1
192,MASKED BOOBY,150,150,1
193,MASKED LAPWING,150,150,1
194,MIKADO  PHEASANT,150,150,1
195,MOURNING DOVE,150,150,1
196,MYNA,150,150,1
197,NICOBAR PIGEON,150,150,1
198,NOISY FRIARBIRD,150,150,1
199,NORTHERN CARDINAL,150,150,1
200,NORTHERN FLICKER,150,150,1
201,NORTHERN FULMAR,150,150,1
202,NORTHERN GANNET,150,150,1
203,NORTHERN GOSHAWK,150,150,1
204,NORTHERN JACANA,150,150,1
205,NORTHERN MOCKINGBIRD,150,150,1
206,NORTHERN PARULA,150,150,1
207,NORTHERN RED BISHOP,150,150,1
208,NORTHERN SHOVELER,150,150,1
209,OCELLATED TURKEY,150,150,1
210,OKINAWA RAIL,150,150,1
211,ORANGE BRESTED BUNTING,150,150,1
212,ORIENTAL BAY OWL,150,150,1
213,OSPREY,150,150,1
214,OSTRICH,150,150,1
215,OVENBIRD,150,150,1
216,OYSTER CATCHER,150,150,1
217,PAINTED BUNTIG,150,150,1
218,PALILA,150,150,1
219,PARADISE TANAGER,150,150,1
220,PARAKETT  AKULET,150,150,1
221,PARUS MAJOR,150,150,1
222,PATAGONIAN SIERRA FINCH,150,150,1
223,PEACOCK,150,150,1
224,PELICAN,150,150,1
225,PEREGRINE FALCON,150,150,1
226,PHILIPPINE EAGLE,150,150,1
227,PINK ROBIN,150,150,1
228,POMARINE JAEGER,150,150,1
229,PUFFIN,150,150,1
230,PURPLE FINCH,150,150,1
231,PURPLE GALLINULE,150,150,1
232,PURPLE MARTIN,150,150,1
233,PURPLE SWAMPHEN,150,150,1
234,PYGMY KINGFISHER,150,150,1
235,QUETZAL,150,150,1
236,RAINBOW LORIKEET,150,150,1
237,RAZORBILL,150,150,1
238,RED BEARDED BEE EATER,150,150,1
239,RED BELLIED PITTA,150,150,1
240,RED BROWED FINCH,150,150,1
241,RED FACED CORMORANT,150,150,1
242,RED FACED WARBLER,150,150,1
243,RED FODY,150,150,1
244,RED HEADED DUCK,150,150,1
245,RED HEADED WOODPECKER,150,150,1
246,RED HONEY CREEPER,150,150,1
247,RED NAPED TROGON,150,150,1
248,RED TAILED HAWK,150,150,1
249,RED TAILED THRUSH,150,150,1
250,RED WINGED BLACKBIRD,150,150,1
251,RED WISKERED BULBUL,150,150,1
252,REGENT BOWERBIRD,150,150,1
253,RING-NECKED PHEASANT,150,150,1
254,ROADRUNNER,150,150,1
255,ROBIN,150,150,1
256,ROCK DOVE,150,150,1
257,ROSY FACED LOVEBIRD,150,150,1
258,ROUGH LEG BUZZARD,150,150,1
259,ROYAL FLYCATCHER,150,150,1
260,RUBY THROATED HUMMINGBIRD,150,150,1
261,RUDY KINGFISHER,150,150,1
262,RUFOUS KINGFISHER,150,150,1
263,RUFUOS MOTMOT,150,150,1
264,SAMATRAN THRUSH,150,150,1
265,SAND MARTIN,150,150,1
266,SANDHILL CRANE,150,150,1
267,SATYR TRAGOPAN,150,150,1
268,SCARLET CROWNED FRUIT DOVE,150,150,1
269,SCARLET IBIS,150,150,1
270,SCARLET MACAW,150,150,1
271,SCARLET TANAGER,150,150,1
272,SHOEBILL,150,150,1
273,SHORT BILLED DOWITCHER,150,150,1
274,SMITHS LONGSPUR,150,150,1
275,SNOWY EGRET,150,150,1
276,SNOWY OWL,150,150,1
277,SORA,150,150,1
278,SPANGLED COTINGA,150,150,1
279,SPLENDID WREN,150,150,1
280,SPOON BILED SANDPIPER,150,150,1
281,SPOONBILL,150,150,1
282,SPOTTED CATBIRD,150,150,1
283,SRI LANKA BLUE MAGPIE,150,150,1
284,STEAMER DUCK,150,150,1
285,STORK BILLED KINGFISHER,150,150,1
286,STRAWBERRY FINCH,150,150,1
287,STRIPED OWL,150,150,1
288,STRIPPED MANAKIN,150,150,1
289,STRIPPED SWALLOW,150,150,1
290,SUPERB STARLING,150,150,1
291,SWINHOES PHEASANT,150,150,1
292,TAIWAN MAGPIE,150,150,1
293,TAKAHE,150,150,1
294,TASMANIAN HEN,150,150,1
295,TEAL DUCK,150,150,1
296,TIT MOUSE,150,150,1
297,TOUCHAN,150,150,1
298,TOWNSENDS WARBLER,150,150,1
299,TREE SWALLOW,150,150,1
300,TROPICAL KINGBIRD,150,150,1
301,TRUMPTER SWAN,150,150,1
302,TURKEY VULTURE,150,150,1
303,TURQUOISE MOTMOT,150,150,1
304,UMBRELLA BIRD,150,150,1
305,VARIED THRUSH,150,150,1
306,VENEZUELIAN TROUPIAL,150,150,1
307,VERMILION FLYCATHER,150,150,1
308,VICTORIA CROWNED PIGEON,150,150,1
309,VIOLET GREEN SWALLOW,150,150,1
310,VULTURINE GUINEAFOWL,150,150,1
311,WALL CREAPER,150,150,1
312,WATTLED CURASSOW,150,150,1
313,WHIMBREL,150,150,1
314,WHITE BROWED CRAKE,150,150,1
315,WHITE CHEEKED TURACO,150,150,1
316,WHITE NECKED RAVEN,150,150,1
317,WHITE TAILED TROPIC,150,150,1
318,WHITE THROATED BEE EATER,150,150,1
319,WILD TURKEY,150,150,1
320,WILSONS BIRD OF PARADISE,150,150,1
321,WOOD DUCK,150,150,1
322,YELLOW BELLIED FLOWERPECKER,150,150,1
323,YELLOW CACIQUE,150,150,1
324,YELLOW HEADED BLACKBIRD,150,150,1
